transaction_id,timestamp,user_id,first_name,last_name,email,address,category_l1,category_l2,category_l3,quantity,unit_price,total_price
844bf880-0a59-44db-99da-223dbcc72de5,2025-07-12T17:31:41Z,05809584-2715-4ea7-95b1-25d9d000acfa,EVE4417,KATZ9408,evekatz3174@verizon.net,103 Westminster Rd,SNACKS,CHIPS,Doritos Nacho Cheese 9.25oz,2,4.63,9.26
ba4b2c52-e542-44b7-8d6d-5d7381bc12cd,2025-07-04T05:51:21Z,4952c76a-88e4-4d32-a801-57ce483e9580,EVE3812,SHELL1720,persianpalm563313@netzero.com,720 Baldwin Ave,SOFT DRINKS,DR PEPPER,Dr Pepper 12oz can,1,1.19,1.19
82286c10-e1e1-478f-ba10-21ecbdd6500c,2025-07-27T01:44:02Z,1eef4f07-36c1-4d85-88ce-c9e992a52ba8,EVE2597,DALY6316,guitarchick482136615@hotmail.com,3510 Burnham Rd,DAIRY,YOGURT,Chobani Greek Yogurt 5.3oz,2,1.5,3.0
0a34743a-d96a-44e3-bb05-e5d9d3d31de1,2025-08-01T03:22:48Z,08c85a9f-7ecf-4a9c-a08f-9f3377f6e48f,EVE8399,DION6024,eve434200@pcfma.com,1343 La Loma Ave,WATER,BOTTLED,Aquafina 16.9oz,1,1.21,1.21
5b614ad2-2831-4981-98d5-acd262ad637e,2025-07-04T21:00:40Z,fd5a38bc-d989-44b7-b456-dae2949f311b,EVE3812,AGUIRRE348,user542417646289@example.com,18611 N Mica Dr,GROCERY,PASTA,Barilla Spaghetti 1lb,3,1.68,5.04
d6538052-8cbd-4882-9cc0-88981c0a2944,2025-07-02T01:03:35Z,338e8b1d-b754-4058-9bdc-b86b9cb67e8c,EVE390,DALY7524,guitarchick482751691@hotmail.com,3510 Burnham Rd,SOFT DRINKS,PEPSICO,Starry Lemon Lime 12oz can,1,1.0,1.0
ddbb454f-86fc-4477-b3d6-1bba70c6e522,2025-07-03T09:03:11Z,0520de88-f5d4-4a4b-a7bc-ca1d96f2ba0d,EVE8241,MILTON7211,evem5178898005@yahoo.com,215 Smithview Dr,SOFT DRINKS,COKE,Coca-Cola Classic 12oz can,1,1.08,1.08
32312868-207e-4420-af68-a73763a4498f,2025-07-21T04:40:09Z,95b63209-a3cf-4435-80a3-956093a1dade,EVE8429,WHITMAN4011,evarpreston844000@gmail.com,2345 Outpost Dr,PRODUCE,FRUIT,Bananas (lb),1,0.71,0.71
4c762d7f-eff6-43f2-bf15-2fc018c11d5c,2025-08-02T22:24:38Z,472b4879-ad91-40ea-82f2-f5c47092958f,EVE4009,DALTON5858,annecauthron70502@yahoo.com,6140 Fordham Cir W,SOFT DRINKS,PEPSI,Diet Pepsi 12oz can,1,1.12,1.12
0d016e10-f0b5-4c08-ba7d-edd6fbdfcb83,2025-07-28T03:19:46Z,ab73a52a-6a43-4d7b-ae91-7d318ce4d0c0,EVE490,HILL609,ehill521587@browngold.com,1819 N Hollister St,SOFT DRINKS,COKE,Coca-Cola Classic 12oz can,2,1.16,2.32
029e6a06-db81-4b2f-be7f-e6d5a1f92829,2025-07-19T01:17:46Z,8accedad-8cb1-410e-8b4b-11847b14852a,EVE132,DIXON7117,roketryder84503519@yahoo.com,5328 Edington Ln,GROCERY,CEREAL,Kellogg's Frosted Flakes 19oz,2,5.35,10.7
8efd78f6-c3aa-49a5-a756-c11ecac4a36e,2025-07-05T12:52:31Z,d93048db-c9d8-4e97-9926-bbccc1b1c1bb,EVE1439,CORNISH5237,user832052700281@example.com,4521 Dicks Mill Rd,SOFT DRINKS,PEPSI,Diet Pepsi 12oz can,3,1.16,3.48
11540f3d-1197-41b5-936b-70857d351867,2025-07-25T04:41:00Z,42360c8e-da14-4a30-a4a2-fee9062bd99c,EVE5868,BIDDLE9892,eve131471@wassaicproject.org,315 Old Route 22,SOFT DRINKS,COKE,Coke Zero Sugar 12oz can,2,1.01,2.02
1f9e1251-ad19-406e-8e46-cff2a8c0bb33,2025-07-26T18:42:42Z,d182b5fe-29f9-437f-a8bb-9ad06b70211f,EVE5072,RABECK2475,erabeck12442@gte.net,143 McDonald Ave,GROCERY,CEREAL,Cheerios 18oz,1,5.77,5.77
